Method,Dataset,QuestionNo,ContextScore,PrecisionScore,RelevanceScore,CoherenceScore
tf_idf,cpsc_340,q7,0.3333333333333333,0,0,0
dpr,cpsc_340,q7,0.3333333333333333,0,0,0
hyde,cpsc_340,q7,0.6666666666666666,0,0,0
tf_idf,cpsc_340,q9,0.0,0,0,0
dpr,cpsc_340,q9,0.0,0,0,0
hyde,cpsc_340,q9,0.5,0,0,0
tf_idf,cpsc_340,q4,0.25,0,0,0
dpr,cpsc_340,q4,0.25,0,0,0
hyde,cpsc_340,q4,0.5,0,0,0
tf_idf,cpsc_340,q2,1.0,0,0,0
dpr,cpsc_340,q2,1.0,0,0,0
hyde,cpsc_340,q2,1.0,0,0,0
tf_idf,cpsc_340,q8,0.0,0,0,0
dpr,cpsc_340,q8,0.5,0,0,0
hyde,cpsc_340,q8,0.5,0,0,0
tf_idf,cpsc_340,q6,1.0,0,0,0
dpr,cpsc_340,q6,0.0,0,0,0
hyde,cpsc_340,q6,0.0,0,0,0
tf_idf,cpsc_340,q5,1.0,0,0,0
dpr,cpsc_340,q5,1.0,0,0,0
hyde,cpsc_340,q5,0.0,0,0,0
tf_idf,cpsc_340,q3,0.3333333333333333,0,0,0
dpr,cpsc_340,q3,0.0,0,0,0
hyde,cpsc_340,q3,0.0,0,0,0
tf_idf,cpsc_340,q1,0.6666666666666666,0,0,0
dpr,cpsc_340,q1,0.6666666666666666,0,0,0
hyde,cpsc_340,q1,0.6666666666666666,0,0,0
tf_idf,dissertation,q7,0.0,0,0,0
dpr,dissertation,q7,0.0,0,0,0
hyde,dissertation,q7,0.0,0,0,0
tf_idf,dissertation,q9,0.3333333333333333,0,0,0
dpr,dissertation,q9,0.5,0,0,0
hyde,dissertation,q9,0.16666666666666666,0,0,0
tf_idf,dissertation,q4,0.5,0,0,0
dpr,dissertation,q4,0.5,0,0,0
hyde,dissertation,q4,0.5,0,0,0
tf_idf,dissertation,q2,1.0,0,0,0
dpr,dissertation,q2,0.0,0,0,0
hyde,dissertation,q2,1.0,0,0,0
tf_idf,dissertation,q8,0.0,0,0,0
dpr,dissertation,q8,0.0,0,0,0
hyde,dissertation,q8,0.0,0,0,0
tf_idf,dissertation,q6,1.0,0,0,0
dpr,dissertation,q6,0.0,0,0,0
hyde,dissertation,q6,1.0,0,0,0
tf_idf,dissertation,q5,0.3333333333333333,0,0,0
dpr,dissertation,q5,0.0,0,0,0
hyde,dissertation,q5,0.3333333333333333,0,0,0
tf_idf,dissertation,q3,1.0,0,0,0
dpr,dissertation,q3,1.0,0,0,0
hyde,dissertation,q3,1.0,0,0,0
tf_idf,dissertation,q1,1.0,0,0,0
dpr,dissertation,q1,0.0,0,0,0
hyde,dissertation,q1,1.0,0,0,0
tf_idf,econ,q7,1.0,0,0,0
dpr,econ,q7,1.0,0,0,0
hyde,econ,q7,1.0,0,0,0
tf_idf,econ,q9,1.0,0,0,0
dpr,econ,q9,0.0,0,0,0
hyde,econ,q9,0.0,0,0,0
tf_idf,econ,q4,0.5,0,0,0
dpr,econ,q4,0.5,0,0,0
hyde,econ,q4,0.0,0,0,0
tf_idf,econ,q2,1.0,0,0,0
dpr,econ,q2,1.0,0,0,0
hyde,econ,q2,1.0,0,0,0
tf_idf,econ,q8,1.0,0,0,0
dpr,econ,q8,0.0,0,0,0
hyde,econ,q8,0.0,0,0,0
tf_idf,econ,q6,1.0,0,0,0
dpr,econ,q6,0.0,0,0,0
hyde,econ,q6,0.0,0,0,0
tf_idf,econ,q5,1.0,0,0,0
dpr,econ,q5,1.0,0,0,0
hyde,econ,q5,1.0,0,0,0
tf_idf,econ,q3,1.0,0,0,0
dpr,econ,q3,0.0,0,0,0
hyde,econ,q3,1.0,0,0,0
tf_idf,econ,q1,1.0,0,0,0
dpr,econ,q1,1.0,0,0,0
hyde,econ,q1,0.0,0,0,0
